id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1958,TRON,TRX,tron,985,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87369017933.6836,87369040345.7121,True,,15,71659659264,8084826606.70872,,2024-06-01T20:37:00.000Z,0.112822565579381,193378462.614381,-29.0084,0.12897082,0.61832393,-0.53694255,-8.00534836,-3.32932611,-19.74607396,9857196755.42912,0.389,9857199284.01,,2024-06-01T20:37:00.000Z,,,,,,2024-06-01 22:38:38.408514
1,Bitcoin,BTC,bitcoin,11096,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19706525,19706525,False,,1,,,,2024-06-01T20:40:00.000Z,67697.8608898583,12635848118.7779,-53.4726,0.03170939,0.13835642,-2.01487991,15.05755857,2.76223516,7.74750475,1334089588072.51,52.6573,1421655078687.02,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
1027,Ethereum,ETH,ethereum,9019,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120142090.733303,120142090.733303,True,,2,,,,2024-06-01T20:40:00.000Z,3801.60127150547,9105093984.92113,-38.8791,0.08620334,0.30223506,1.43340202,27.59151483,16.06795452,9.51853789,456732324893.052,18.0264,456732324893.05,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
825,Tether USDt,USDT,tether,87497,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112141340734.728,115086550406.949,True,,3,,,,2024-06-01T20:40:00.000Z,0.999113409494425,35185744375.97,-39.7619,-0.00047387,0.01443247,-0.0833597,-0.12532573,-0.12423627,-0.15248766,112041917286.75,4.4221,114984515764.04,,2024-06-01T20:40:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-01 22:42:39.481248
1839,BNB,BNB,bnb,2173,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147585260.516745,147585260.516745,False,,4,,,,2024-06-01T20:40:00.000Z,598.975177015669,1398188611.23827,-11.5687,0.43873004,0.79859905,-0.32776804,7.02742149,7.40100271,44.35730719,88399907542.9212,3.489,88399907542.92,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
5426,Solana,SOL,solana,669,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,459695597.293624,577255645.489618,True,,5,,,,2024-06-01T20:40:00.000Z,167.456887961938,1088798978.39954,-55.493,0.15501368,0.74671184,0.45868785,22.88312143,-9.46218349,28.55261361,76979194132.5947,3.0382,96665433952.15,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
3408,USDC,USDC,usd-coin,19521,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32368714803.3527,32368714803.3527,False,,6,,,,2024-06-01T20:40:00.000Z,0.999979860841452,2721527523.49197,-56.7298,-0.00122163,-0.02623957,-0.01321489,-0.01971348,0.00196644,-0.00800518,32368062924.6733,1.2775,32368062924.67,,2024-06-01T20:40:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-01 22:42:39.481248
52,XRP,XRP,xrp,1333,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000,55450358947,99987572899,False,,7,,,,2024-06-01T20:41:00.000Z,0.519279277473169,580585443.251981,-52.0682,0.15391209,0.35883968,-3.64642577,-0.44133479,-12.32740354,-17.39857957,28794222329.626,1.1365,51927927747.32,,2024-06-01T20:41:00.000Z,,,,,,2024-06-01 22:42:39.481248
74,Dogecoin,DOGE,dogecoin,975,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144533876383.705,144533876383.705,True,,8,,,,2024-06-01T20:41:00.000Z,0.160891943137806,534205993.652851,-43.4069,0.36202785,1.00926081,-5.03448221,22.33002804,-13.08976223,4.2011115,23254336220.6138,0.9178,23254336220.61,,2024-06-01T20:41:00.000Z,,,,,,2024-06-01 22:42:39.481248
2010,Cardano,ADA,cardano,1189,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35701215654.157,36925434173.444,False,,9,,,,2024-06-01T20:40:00.000Z,0.449378523756299,174088210.695949,-40.022,0.14254792,0.0404925,-2.2252566,-1.10774396,-23.29967456,-38.20888449,16043359586.9703,0.6332,20222033569.03,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
11419,Toncoin,TON,toncoin,382,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2412334807.8359,5107166525.37098,True,,10,3414166606,21490372517.0971,,2024-06-01T20:40:00.000Z,6.2944709491711,127641868.136024,-8.7093,0.37514629,-0.87851498,-1.37587291,23.09879653,28.8296108,135.26712991,15184371367.5974,0.5993,32146911326.53,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
5994,Shiba Inu,SHIB,shiba-inu,828,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271826076168,589519963147025,False,,11,,,,2024-06-01T20:40:00.000Z,0.0000253728002824,278380627.194415,-56.1035,0.42374484,-0.6334453,2.38501237,10.8069182,-4.45142221,9.04079266,14951476355.0757,0.5901,14957772287.42,,2024-06-01T20:40:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-01 22:42:39.481248
5805,Avalanche,AVAX,avalanche,735,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,393113090.849773,442459460.849773,False,,12,,,,2024-06-01T20:40:00.000Z,35.9569465778663,164201251.689123,-46.3495,0.13669458,-0.61041461,-5.15140658,7.48878917,-24.10986434,-15.53058794,14135146406.7452,0.5579,25736138452.26,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
1975,Chainlink,LINK,chainlink,1787,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000,587099970.452787,1000000000,False,,13,,,,2024-06-01T20:40:00.000Z,18.4727111179003,311758654.704157,-25.1844,-0.16175364,-0.24769394,6.21952086,35.74164832,2.96972852,-10.25257468,10845328151.5021,0.428,18472711117.9,,2024-06-01T20:40:00.000Z,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-01 22:42:39.481248
6636,Polkadot,DOT,polkadot-new,774,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.36815,1437953431.36815,True,,14,1452146757.29164,10272270808.9426,,2024-06-01T20:40:00.000Z,7.07385170084403,124072914.546541,-28.6113,0.09504974,1.55155294,-3.77746902,-2.88981373,-17.86409684,-27.07909573,10171869326.2181,0.4015,10171869326.22,,2024-06-01T20:40:00.000Z,,,,,,2024-06-01 22:42:39.481248
